car_id,part,current_km,km_diff,days_diff,needs_change,last_change_km
21,battery,96160,33520,154,0,62640.0
36,oil,126032,75,213,0,
25,tires,104578,44315,320,0,60263.0
46,battery,177280,22368,938,0,154912.0
26,spark_plugs,72819,28827,458,0,43992.0
41,battery,91109,21000,1413,0,70109.0
25,tires,93334,41631,590,0,51703.0
47,battery,131681,33308,435,1,98373.0
26,fuel_filter,112090,9304,336,0,102786.0
46,tires,132479,38820,540,0,93659.0
18,tires,120918,52121,1443,1,68797.0
6,oil,151618,2711,39,0,148907.0
46,fuel_filter,69113,8184,202,0,60929.0
25,oil,79789,10068,94,1,69721.0
1,tires,104808,47953,163,0,56855.0
30,brake_pads,123879,24044,779,1,99835.0
5,fuel_filter,115933,9997,847,1,105936.0
48,air_filter,117640,16067,243,1,101573.0
4,oil,92014,4553,115,1,87461.0
14,brake_pads,140098,44625,337,1,95473.0
22,air_filter,47014,7906,366,1,39108.0
36,oil,120356,12237,135,1,108119.0
5,air_filter,71687,6900,127,0,64787.0
43,battery,191676,23631,716,0,168045.0
19,oil,154267,4934,95,1,149333.0
26,spark_plugs,137948,20775,494,0,117173.0
16,air_filter,91559,4998,175,0,86561.0
31,tires,96011,42925,223,0,
6,fuel_filter,81708,12299,201,0,69409.0
8,spark_plugs,160474,13155,989,1,147319.0
4,brake_pads,81334,10895,1,0,70439.0
25,air_filter,129423,14860,163,1,114563.0
12,tires,96894,140900,988,0,-44006.0
46,battery,82199,32316,646,0,49883.0
43,air_filter,111906,5437,121,0,106469.0
30,battery,58513,35623,569,0,22890.0
35,air_filter,76492,7058,199,0,69434.0
50,brake_pads,84057,14547,187,0,69510.0
6,battery,78879,50703,778,1,28176.0
41,brake_pads,148787,6869,612,0,141918.0
37,oil,100434,1251,181,0,99183.0
29,battery,88264,40033,800,0,48231.0
28,air_filter,74845,9078,13,0,65767.0
4,fuel_filter,148304,11190,606,1,137114.0
7,spark_plugs,62300,10224,287,0,52076.0
47,fuel_filter,129881,29638,522,1,100243.0
46,air_filter,90178,3662,68,0,86516.0
6,spark_plugs,170522,37091,892,1,133431.0
21,battery,121891,143,530,0,121748.0
29,brake_pads,68053,8661,302,0,59392.0
46,spark_plugs,43860,21201,174,0,
20,fuel_filter,193181,18751,165,1,174430.0
22,fuel_filter,49353,10760,362,0,38593.0
25,spark_plugs,82284,19143,1273,1,63141.0
50,battery,59887,33516,796,0,26371.0
39,tires,113415,27115,907,1,86300.0
29,spark_plugs,125021,16242,308,0,108779.0
4,fuel_filter,151020,9394,98,0,141626.0
20,oil,140197,4129,68,0,136068.0
10,tires,138432,54332,32,0,84100.0
37,oil,69587,2736,84,0,
21,fuel_filter,76135,14752,381,1,61383.0
3,oil,129752,4071,127,0,125681.0
50,spark_plugs,143059,32277,537,1,110782.0
9,battery,90026,22166,1458,1,67860.0
47,battery,79921,39718,410,0,40203.0
49,battery,56569,44314,1044,0,12255.0
10,brake_pads,82446,5997,45,0,76449.0
22,oil,133409,1549,46,0,131860.0
15,air_filter,67021,8620,150,1,58401.0
37,spark_plugs,98896,20664,650,0,78232.0
