car_id,part,current_km,km_diff,days_diff,needs_change
16,brake_pads,194937,15349,212,0
26,tire,137216,39289,228,1
27,fuel_filter,74028,13123,60,0
11,brake_fluid_r,94719,19448,149,0
8,tire,146737,16318,1020,1
2,air_filter,112695,9473,73,0
6,brake_fluid_r,166938,18893,162,0
25,battery,115678,149189,634,1
25,tire,115678,45723,571,1
17,spark_plugs,133800,26301,289,0
25,timing_chain,115678,163574,1034,1
3,spark_plugs,119199,11335,53,0
10,belts_kit,197159,30969,125,0
8,brake_fluid_r,146737,79989,907,1
31,brake_fluid_p,45372,16138,155,0
36,brake_fluid_r,68059,32520,218,1
11,brake_fluid_p,94719,97482,719,1
34,tire,89905,16035,55,0
18,brake_fluid_r,60062,64668,221,1
11,timing_chain,94719,137071,1485,1
10,brake_fluid_p,197159,17848,78,0
31,brake_fluid_r,45372,11298,99,0
12,tire,152020,28676,502,1
7,tire,190447,1458,17,0
48,air_filter,122846,1103,37,0
6,brake_fluid_p,166938,9305,64,0
41,brake_fluid_r,53106,30265,1142,1
4,air_filter,121125,10272,59,0
47,brake_fluid_p,144874,25577,3203,1
5,tire,107225,82166,812,1
20,belts_kit,92952,12178,245,0
4,tire,121125,19349,142,0
49,fuel_filter,69800,5599,53,0
49,air_filter,69800,8085,166,1
18,brake_fluid_r,60062,15142,127,0
26,brake_fluid_r,137216,15941,408,1
36,timing_chain,68059,2777,19,0
44,tire,109334,45068,218,1
50,wire_set,180494,36372,441,0
21,belts_kit,112974,98030,816,1
36,spark_plugs,68059,14144,77,0
42,fuel_filter,129900,1718,36,0
1,fuel_filter,46556,7665,62,0
1,brake_fluid_r,46556,14566,233,0
9,timing_chain,115402,16414,613,0
40,spark_plugs,100093,16386,218,0
38,brake_fluid_r,130862,80455,685,1
47,spark_plugs,144874,30824,110,1
32,timing_chain,149249,29398,296,0
27,fuel_filter,74028,2480,13,0
47,brake_fluid_r,144874,90566,332,1
47,brake_fluid_r,144874,89397,600,1
25,brake_pads,115678,29470,223,1
29,air_filter,90499,9364,85,0
12,air_filter,152020,13898,346,1
31,brake_fluid_p,45372,21780,171,0
12,brake_fluid_p,152020,78821,506,1
2,air_filter,112695,11494,68,0
17,fuel_filter,133800,2154,40,0
26,belts_kit,137216,19400,130,0
24,brake_fluid_p,94669,4235,33,0
44,tire,109334,4975,29,0
43,tire,151363,130166,676,1
39,fuel_filter,177599,9009,405,1
1,tire,46556,16388,496,1
27,timing_chain,74028,37989,260,0
34,brake_fluid_r,89905,14031,103,0
23,tire,187811,31893,177,0
37,air_filter,108132,9148,96,0
48,wire_set,122846,14626,259,0
20,tire,92952,33575,232,0
1,brake_fluid_p,46556,33287,341,1
3,spark_plugs,119199,31072,368,1
3,tire,119199,30570,197,0
11,brake_fluid_r,94719,24485,142,0
22,spark_plugs,68094,8644,70,0
8,spark_plugs,146737,32381,122,1
29,belts_kit,90499,47284,703,1
26,tire,137216,22255,165,0
38,brake_pads,130862,69064,403,1
34,spark_plugs,89905,27699,112,0
32,spark_plugs,149249,8673,210,0
42,fuel_filter,129900,10216,425,1
17,brake_pads,133800,13477,155,0
31,air_filter,45372,7907,115,0
15,brake_fluid_p,118715,23480,187,0
8,wire_set,146737,76010,1249,1
7,brake_fluid_r,190447,11872,169,0
48,belts_kit,122846,26374,1254,1
39,wire_set,177599,34613,584,1
42,spark_plugs,129900,31421,395,1
5,timing_chain,107225,207084,378,1
2,wire_set,112695,40916,231,0
13,wire_set,87164,21992,175,0
5,air_filter,107225,4587,62,0
48,fuel_filter,122846,6519,201,0
30,tire,134022,17753,450,1
35,brake_fluid_p,166942,12120,145,0
4,brake_fluid_r,121125,63726,478,1
1,wire_set,46556,26897,376,0
16,belts_kit,194937,103704,890,1
